partner_id,role,FinalCWS,CWS_r,CWS_r,S_P,S_I,S_T,S_R,S_B,S_L,LoanLimit,InterestRate
1,driver,10.714691516792227,42.225309382542946,42.225309382542946,72.13331027711313,7.62694466083818,22.139500333740706,61.38707096273608,49.81794498958266,33.03608013701177,10702.33394685292,0.15859177300183974
2,driver,2.8229092293969105,30.966112588480378,30.966112588480378,25.04205416314332,44.232435978884126,1.6826194758546278,23.746183491964903,11.339806996301936,92.57860501861666,11551.320503755178,0.18530399902462066
3,driver,20.915268446999917,50.79643179499629,50.79643179499629,48.49591983027033,51.80577348467645,46.31597795640025,29.74067310130155,59.09218993145442,60.04650169577554,27214.938003559444,0.1642143950023493
4,driver,46.10598119342219,60.537004560689596,60.537004560689596,67.65957679992931,59.3474596243457,45.0981435497045,52.83148543982394,93.62048765179648,19.643600632445267,51267.32129834317,0.12747827608666584
5,driver,66.27587162737213,68.09941546326881,68.09941546326881,59.6558664992542,48.52874582079074,96.77688485314631,50.396451490910046,68.65178359648296,82.36663209521699,62093.502659076716,0.10852590262717285
6,driver,32.88138118594941,56.54476149960719,56.54476149960719,35.112410585594674,71.380966272379,72.71663203614888,41.46575242455061,68.26285180219782,43.78856404283628,44067.487193005596,0.14638574260177528
7,driver,46.81727209917519,63.08502078242263,63.08502078242263,76.02852660473478,23.548191833321056,12.174509612465254,89.31357157093791,99.277843582298,56.695941950769146,34901.42485903553,0.10852594211535586
8,driver,85.74328773604287,75.62047854058464,75.62047854058464,87.99799796264271,58.9251809773081,96.77688485314631,71.26725794240768,76.04956685892586,59.07377576613603,85609.3431716338,0.07862308329275329
9,driver,41.06379188379052,59.280313129353,59.280313129353,48.57350898503304,44.33892769033464,86.89975587952641,56.19455480922612,67.15637861561473,48.792251637047194,40425.205514760375,0.1308389307115964
10,driver,44.07511301539238,54.25330440393194,54.25330440393194,72.18391354812725,68.14701807010329,72.04142189069063,33.658120714906694,14.772774222594784,83.33177286474965,53473.44719798159,0.13909582662715428
11,driver,11.106138828147747,43.69937093331022,43.69937093331022,27.06596331676032,70.68882206000625,41.7623397479675,30.700413934433985,36.0278316035503,61.79210461385103,22791.976708433023,0.17354365420463524
12,driver,2.464435204223843,30.21576814107267,30.21576814107267,20.33218821380322,34.97907084888186,12.138461205963722,36.636960786610565,35.76394784129246,41.006147997632425,10173.310395465918,0.1792170844024709
13,driver,11.633438048682047,45.11164976434243,45.11164976434243,53.62645091775803,9.42902150820423,33.374903816441275,53.97741614002335,50.94336742411046,65.50112005079156,11473.812870896316,0.16137785388130627
14,driver,57.972035198112636,65.47718282045146,65.47718282045146,36.656454676350414,72.65938617986447,81.38010504618691,84.3020658939429,69.76129552278896,54.77683671220193,69152.4526419704,0.09987693185491592
15,driver,8.154982383909978,38.00956408105192,38.00956408105192,30.96121513279047,45.60695089069291,96.77688485314631,41.444946305470815,20.326817192298265,6.8258142722846165,15798.07909141287,0.17112254446335462
16,driver,31.703923740088392,50.43695438510037,50.43695438510037,62.000984509701404,44.30227723879138,96.77688485314631,59.013975275670546,30.002954642145138,23.549914439644727,33348.245372641664,0.13878908862207634
17,driver,4.800190164269482,35.86813511283426,35.86813511283426,15.794318403171347,70.2757059734633,24.82068542997842,31.95311680693961,31.07206156162233,47.722064550058825,16646.34068386142,0.17922325143226073
18,driver,18.546142188856834,50.49035066010518,50.49035066010518,48.29859315075182,46.397707633071214,7.131296911936387,61.92302083837398,67.61838438043844,62.8792974366948,23942.21550284943,0.1504923473919562
19,driver,7.25368185741461,37.07232341430916,37.07232341430916,27.626209049379653,73.71917572750588,56.58208461631532,12.759495256946629,1.1701147039724522,71.53832418013957,19551.27389586178,0.1863665705141121
20,driver,2.9637617191976653,31.499501813973747,31.499501813973747,17.47184343685045,42.349396595516296,2.6502419708282825,51.71281696951989,4.675605426792298,94.86789878232346,11424.552510917982,0.1711798297960424
21,driver,77.29503092770464,70.16183087332931,70.16183087332931,77.95313505275581,90.25800361670595,63.460541539962094,40.34679667984906,59.87468611003771,88.414651074945,100755.77418096177,0.10253157073237083
22,driver,17.078262820971347,45.66758774700253,45.66758774700253,50.17307041192628,65.81656419226226,43.21101295755277,48.9571953791317,43.88626201016333,22.905797015646055,27405.22219760505,0.15844313948946281
23,driver,9.629656233087271,42.60247042568281,42.60247042568281,45.67631023121805,27.114233866004465,33.711419188967845,42.56173354495865,36.589324244437364,73.34765026208898,13652.091889060603,0.16908947699443344
24,driver,16.053566196174437,49.508221067702905,49.508221067702905,18.67316969831572,73.20155343591034,2.3915306681495836,81.36848648676151,53.41770529970793,77.9296213537248,28142.749692030302,0.1432621905604448
25,driver,23.055186922054048,49.761021608195634,49.761021608195634,36.32792410471195,70.10728126820403,68.4888555810216,47.90959752291088,30.948055523780102,59.64272772179536,34163.494689525716,0.1529900143164905
26,driver,21.164852543671422,52.8451510740301,52.8451510740301,35.746805102711605,61.2820259578398,24.31259185278003,55.49209244723947,88.53761274031922,31.853861368003344,29970.34395705354,0.15108910123270886
27,driver,2.139997277953199,28.864785388403718,28.864785388403718,21.715356345274625,16.30665417858703,13.300104402901322,67.90073131532161,37.89312931782465,19.29091581157515,7765.833893477585,0.16390963706438602
28,driver,17.988551105778594,49.09043984620985,49.09043984620985,44.91668026699764,70.10728126820403,0.6355567955020988,67.72474077687922,67.91651490079626,35.25276046779857,29295.175864974102,0.1481490785057818
29,driver,61.76139903185705,65.8572716458788,65.8572716458788,53.76846000315025,76.41256113520988,48.787399852305654,90.14153906349888,75.09446223886245,52.055696332326306,75100.58916080678,0.0931678314363935
30,driver,6.94890711268209,34.59014164747792,34.59014164747792,52.888837128228744,21.787301296912506,96.77688485314631,23.75076076127755,7.456626939779839,17.14183343726444,11169.47643835019,0.18117571250667913
31,driver,11.281012332230791,39.396488805190494,39.396488805190494,42.481425520420885,48.972116655539544,96.77688485314631,28.260285285600013,6.8248233687526385,31.93361272501131,18829.25701385896,0.17458884502496924
32,driver,31.705000697507725,53.93289270057012,53.93289270057012,78.04229286882716,34.27002449478898,33.711419188967845,35.95430272607313,50.91610466842181,84.2968062492232,29801.25193256912,0.1503178479394557
